Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
RAMOD KUMAR,Literate,Agriculture,7025000,70 Lakh,686960,6 Lakh,2
ABHISHANK KUMAR,Graduate Professional,Director of Coaching Institute & Social Worker,19982000,1 Crore,499650,4 Lakh,1
UMESH RAM,Literate,"Agriculture, Social Work",1420000,14 Lakh,0,0,0
KUMARI SHEETAL,Post Graduate,Social Service,440000,4 Lakh,0,0,1
KAMESHWAR YADAV,Post Graduate,Professor Pvt. College,1275100,12 Lakh,0,0,0
RINA KUMARI,Literate,Animal Husbandry,1050000,10 Lakh,0,0,3
EJAZ AHMAD SIDDIQUE,10th Pass,Business,6572569,65 Lakh,1100040,11 Lakh,2
ASHOK KUMAR SINGH,Graduate,Agriculture & Tuition,3605000,36 Lakh,503280,5 Lakh,0
ANKIT KUMAR,12th Pass,Agriculture,1570278,15 Lakh,0,0,0
SURENDRA KUMAR YADAV,10th Pass,"Social Service, Agriculture",7555008,75 Lakh,838788,8 Lakh,0
SHAK NAUSHAD,Graduate,Labour,2365039,23 Lakh,0,0,0
SURAJ KUMAR,Post Graduate,Business,2949000,29 Lakh,1005470,10 Lakh,0
SAHANA KHATOON,12th Pass,House Wife,240520,2 Lakh,0,0,0
DINKAR KUMAR,10th Pass,Labour,745000,7 Lakh,0,0,0
DHARMATMA SHARMA,Literate,Social-Political Work,1014100,10 Lakh,0,0,0
SANJAY KUMAR SINGH,Post Graduate,Zila Parishad Member & Social worker,6124140,61 Lakh,661690,6 Lakh,0
BIPLAW KUMAR CHOUDHARY,Post Graduate,Agriculture,7702000,77 Lakh,0,0,2
MOHAMMAD KALAM,Post Graduate,Social Service,3437500,34 Lakh,0,0,3
RAJESH KUMAR PASWAN,Graduate Bachelor,Agriculture,611000,6 Lakh,491950,4 Lakh,0
SAROJ CHAUDHARY,10th Pass,Agriculture,5018000,50 Lakh,120000,1 Lakh,0
INDRADEO ROY,Post Graduate,Farming and social service,1400907,14 Lakh,0,0,0
JAYMANGAL RAM,10th Pass,Agriculture,591000,5 Lakh,0,0,0
DHANANJAY KUMAR,12th Pass,Agriculture,7929889,79 Lakh,275268,2 Lakh,5
OM PRAKASH PANJIYAR,10th Pass,Pension,6368379,63 Lakh,0,0,0
RAMESH KUMAR,Doctorate Ph.D,Assistant Professor,14935000,1 Crore,74639,74 Thousand,0
GAUTAM RAJVANSHI,8th Pass,Agriculture,7500,7 Thousand,0,0,0
JAY PRAKASH KUMAR SINGH,"Graduate Graduate,",Retired Army,9810000,98 Lakh,342110,3 Lakh,0
DHURAKHELI RAVIDAS,Graduate B.A.,Raj Mistry of Civil Construction,1508599,15 Lakh,0,0,0
JAGNNATH SINGH,Graduate Professional,Advocate,69111837,6 Crore,1060390,10 Lakh,0
BITTU KUMAR,12th Pass,Social Worker & Agriculture,4781600,47 Lakh,38780,38 Thousand,0
VIRENDRA KUMAR SINGH,Graduate B.Sc.,Agriculture,990000,9 Lakh,0,0,0
SHANKAR KUMAR GOND,Literate,Labour,810100,8 Lakh,0,0,0
SHEKH SHAHNAWAZ ALAM,Post Graduate,Doctor,18772714,1 Crore,24602900,2 Crore,0
JAI PRAKASH KUMAR,12th Pass,Business,2490000,24 Lakh,1048610,10 Lakh,0
AMAN KUMAR JHA,Graduate,Pension,6245938,62 Lakh,0,0,0
AMAR KUMAR SINGH,Others DMLT,Agriculture,6831000,68 Lakh,0,0,0
OM PRAKASH,12th Pass,Labour,1316643,13 Lakh,0,0,0
MUNNA PANDEY,Graduate,Agricultural equipment dealer,134822626,13 Crore,4488080,44 Lakh,1
AMITABH KUMAR,Literate,Labour,427000,4 Lakh,0,0,0
PRANJAL SINGH,Post Graduate,Advocate,440549,4 Lakh,291320,2 Lakh,0
ANAND KUMAR,12th Pass,Real State,23017838,2 Crore,0,0,1
VISHWANATH CHOUDHARY,10th Pass,Business and Agriculture,66897953,6 Crore,699430,6 Lakh,1
VANDANA KUMARI,Graduate B.A.,Business,26371832,2 Crore,701110,7 Lakh,0
RAM NANDAN SINGH,Graduate B.Sc.,"Agriculture, Bank Interest & House Rent",80619600,8 Crore,3042630,30 Lakh,0
PUSHPAM PRIYA,Post Graduate,Politics,3800800,38 Lakh,670990,6 Lakh,0
ASHOK KUMAR ANJANA,Post Graduate,Nil,455000,4 Lakh,0,0,0
PRANAY KUMAR,Post Graduate,Self employment and Consultancy,34954724,3 Crore,522230,5 Lakh,1
RAM ASHIS SHARMA,8th Pass,Aggriculture,2452000,24 Lakh,0,0,0
RAJESH RAM,12th Pass,Labour,50000,50 Thousand,0,0,0
MAHESH PRASAD SINGH,Graduate,Agriculture & Fisheires,189923023,18 Crore,675380,6 Lakh,5
SANDIP KUMAR SINGH ALIAS GOPAL SANDEEP SINGH,12th Pass,Agriculture,804852000,80 Crore,672640,6 Lakh,1
PRANJAL PRAKALP,Graduate Professional,"Software Developer, Freelancer",3962300,39 Lakh,0,0,0
VISHWAKARMA SHARMA,10th Pass,Agriculture,717000,7 Lakh,9234788,92 Lakh,0
UMESH RAM,Others Matric,Agriculture,1743000,17 Lakh,0,0,0
TRIBHUWAN RAM,Graduate,"Labour, Animal Husbandry",609000,6 Lakh,0,0,1
DHARMVIR KUMAR SHARMA,12th Pass,C.S.P. Director,0,0,580900,5 Lakh,0
SHIV NARAYAN,8th Pass,Labour,205000,2 Lakh,0,0,0
BHUSHAN PRASAD RAY,Graduate,Agriculture,4550500,45 Lakh,0,0,0
PANKAJ KUMAR PANDEY,Post Graduate,"Agriculture, Business",267911,2 Lakh,0,0,0
ANITA KUMARI,Graduate,Business,6076000,60 Lakh,704570,7 Lakh,0
KUNAL KUMAR,Graduate B.Com,Business,0,0,2472630,24 Lakh,1
MOHAMMAD KAIFI SAMSHIR,12th Pass,Social Worker,2432360,24 Lakh,492150,4 Lakh,21
JAI SINGH,12th Pass,Business,220647000,22 Crore,713000,7 Lakh,2
RAVI PRAKASH,12th Pass,Agriculture,6797100,67 Lakh,0,0,0
MOHAMMAD PINTU KHAN,12th Pass,Social Worker,1400000,14 Lakh,0,0,0
CHANDRA SHEKHAR SINGH,Post Graduate,Social Work,1931000,19 Lakh,423900,4 Lakh,0
KAVITA KUMARI,Graduate Professional,House Wife,1190000,11 Lakh,0,0,0
KRISHNA CHANDRA SINHA,Doctorate Ph.D.,Retired University Professor & Ex-VC and AUTHOR,337919433,33 Crore,3914777,39 Lakh,0
DINESH SINGH,Graduate B.A.,Agriculture,10275000,1 Crore,0,0,5
SHIV KUMAR YADAV,Graduate Professional,"Farming, Business",168785000,16 Crore,648320,6 Lakh,3
DR BIPIN CHANDRA,Doctorate Ph.D,Agriculture,473000,4 Lakh,699850,6 Lakh,0
RAVI PRAKASH,Post Graduate,Business,6395000,63 Lakh,879810,8 Lakh,2
ANIL PASWAN,12th Pass,Business,14930663,1 Crore,150000,1 Lakh,1
DR VIKAS KUMAR SINGH,Doctorate Ph.D,Service,23607004,2 Crore,409560,4 Lakh,0
KISUN PRASAD,Graduate,Pensioner & Shop Rent,96787790,9 Crore,377230,3 Lakh,0
PREM KUMAR,10th Pass,Business,246000,2 Lakh,0,0,0
BALMIKI SINGH,12th Pass,"Agriculture, Business",35964036,3 Crore,696116,6 Lakh,0
UGRASEN PASWAN,8th Pass,Agriculture,68035,68 Thousand,0,0,0
BAMBAM KUMAR,12th Pass,Nil,2120000,21 Lakh,0,0,0
NAGENDRA RAM,10th Pass,Labour,769000,7 Lakh,0,0,0
DEO KUMAR SINGH,12th Pass,Social Worker,7550000,75 Lakh,0,0,0
HIMANSHU KUMAR PASWAN,Graduate,"Social Worker, Politics & Self Employed",1930257,19 Lakh,532960,5 Lakh,0
KRISHNA SHAH,Graduate Professional,NA,8170600,81 Lakh,431530,4 Lakh,0
VARSHA,Post Graduate,Social Worker,60000,60 Thousand,0,0,0
KARN KUMAR MISHRA,12th Pass,Agriculture,17145500,1 Crore,700000,7 Lakh,0
NASIM AHAMAD,10th Pass,Social Worker,4785302,47 Lakh,0,0,1
SUNITA KUMARI,Post Graduate,"Business, Social Work",9973187,99 Lakh,462740,4 Lakh,0
RAJENDRA SHARMA,12th Pass,Agriculture & Labour Contractor,9338432,93 Lakh,688210,6 Lakh,0
MD GULAM MASOOM,Literate,Self Employed,1461200,14 Lakh,0,0,1
LAXMAN BHAR,8th Pass,Agriculture,1515293,15 Lakh,0,0,0
PRAMOD KUMAR SAHU,12th Pass,LIC Agent,7975934,79 Lakh,490990,4 Lakh,0
KAMLESH PASWAN,Graduate B.A.,Agriculture,45440120,4 Crore,0,0,0
LALAN JEE,Graduate B.A.,Retd. IAS,25912526,2 Crore,1227641,12 Lakh,2
SANTOSH KUMAR SINGH,Post Graduate,Doctor,7190481,71 Lakh,1620206,16 Lakh,1
INDRAJEET PRADHAN,Post Graduate,LIC Agent,61170599,6 Crore,780400,7 Lakh,0
RAJA RAM SINGH,10th Pass,Social Worker,18956600,1 Crore,586210,5 Lakh,0
BIRENDRA KUMAR PASWAN,Post Graduate,"Agriculture, Social Work",624000,6 Lakh,0,0,0
RAM NARAYAN SINGH,Graduate Professional,"Agriculture, Pension and Self employed",75331140,7 Crore,1362820,13 Lakh,0
AJAY KUMAR,Graduate Professional,Agriculture,369550,3 Lakh,519090,5 Lakh,0
GUDIYA DEVI,10th Pass,Small Business & Head of Gram Panchayat Raj Devpura,228616173,22 Crore,404140,4 Lakh,1
SURYAKANT PASWAN,Graduate B.A.,Animal Husbandry & Agriculture,10475279,1 Crore,380000,3 Lakh,1
BIPIN KR SINGH,12th Pass,Nil,2225000,22 Lakh,0,0,0
SHAMIM AKHTAR,10th Pass,Agriculture,5091973,50 Lakh,463610,4 Lakh,0
SANJEET KUMAR,12th Pass,Agriculture Work,1315000,13 Lakh,0,0,0
GANGA PASWAN,Literate,Nil,164917,1 Lakh,0,0,0
INDU DEVI,12th Pass,Nil,60518986,6 Crore,2371550,23 Lakh,0
MD MERAJ,10th Pass,Business,4379918,43 Lakh,1021730,10 Lakh,1
ASHOK KUMAR SINGH,Literate,Agriculture and Social Work,25300744,2 Crore,551930,5 Lakh,1
KUNDAN KUMAR,Graduate B.Sc,Business,2281000,22 Lakh,501600,5 Lakh,1
PRADEEP KUMAR,8th Pass,Social Worker,5878000,58 Lakh,0,0,0
SURENDRA PRASAD YADAV,Graduate Graduation,Business,3390000,33 Lakh,483430,4 Lakh,1
JAGRITI,Graduate Professional,Dentist,11717064,1 Crore,698590,6 Lakh,0
VIKASH KUMAR,10th Pass,Farmer,2417576,24 Lakh,535590,5 Lakh,0
CHANDAN KUMAR,Graduate,Business,3768000,37 Lakh,681642,6 Lakh,0
MUKESH KUMAR,10th Pass,Business,3378986,33 Lakh,0,0,0
BINAY SINGH,12th Pass,Agriculture,29020000,2 Crore,647224,6 Lakh,0
BHAGWAN PRASAD GUPTA,8th Pass,Business,14650000,1 Crore,0,0,0
PRADEEP MANJHI,8th Pass,Agriculture,1327244,13 Lakh,0,0,0
NITISH KUMAR,Graduate,"Business, Social worker",14944364,1 Crore,1844350,18 Lakh,0
SIKANDAR CHAUDHARI,10th Pass,Self Employed,60000,60 Thousand,0,0,0
AKHILESH KUMAR,Others Civil,Agriculture,25258000,2 Crore,500000,5 Lakh,1
RAHUL KUMAR,12th Pass,Business,3465000,34 Lakh,687100,6 Lakh,0
KRISHNA RAM,Graduate B.Com,Business,3545000,35 Lakh,0,0,0
SATYA PRAKASH,Graduate B.A.,Social Work,946200,9 Lakh,0,0,4
SHATRUDHAN VARMA,8th Pass,Labour,1000,1 Thousand,0,0,0
VIKASH KUMAR GAURAB,Graduate,Agriculture,6100000,61 Lakh,679360,6 Lakh,0
MANTESH KUMAR,Graduate BA,Agriculture,13200000,1 Crore,490420,4 Lakh,0
SANJAY KUMAR PRABHAT,Post Graduate,Business,157995000,15 Crore,495290,4 Lakh,1
VIJAY MEHRA,Post Graduate,Social Worker,410000,4 Lakh,0,0,0
ARUN KUMAR YADAV,"Doctorate Ph.D.,",Advocate,3410000,34 Lakh,575890,5 Lakh,0
BALENDRA KUMAR RAY,10th Pass,Share Farming,754000,7 Lakh,0,0,0
SONI DEVI,Literate,Labour,2414000,24 Lakh,0,0,0
ATAL BIHARI,10th Pass,Self Artist,311000,3 Lakh,0,0,0
BINOD KUMAR SINGH,10th Pass,"Agriculture, Truck Driver",7240000,72 Lakh,0,0,0
VIJAY PASWAN,12th Pass,Farming,630300,6 Lakh,0,0,0
RAJ KISHOR SINGH,5th Pass,Agriculture,6127000,61 Lakh,0,0,0
MANJU KUMARI,Graduate Graduation,Agriculture,7922000,79 Lakh,573290,5 Lakh,0
PADMA MISHRA,Post Graduate,Housewife and RMP Doctor,6639200,66 Lakh,0,0,0
VIDYANAND RAM,Post Graduate,"Social Service, Agriculture",6515000,65 Lakh,0,0,0
AWDHESH KUMAR,10th Pass,Pension,10578446,1 Crore,0,0,0
ASHOK KUMAR JHA,10th Pass,Business,27069112,2 Crore,272046,2 Lakh,0
BAIJU KUMAR RAY,12th Pass,Business,169899,1 Lakh,532530,5 Lakh,0
MOHAMMAD SAJAM,Graduate B.A.,Agriculture,1380000,13 Lakh,0,0,0
RAM KUMAR,Graduate B.A.,Business,25000,25 Thousand,0,0,0
ASHUTOSH KUMAR,12th Pass,NA,25000,25 Thousand,0,0,1
BRIJENDU KUMAR SINGH,10th Pass,"Agriculture, Rent, Financial Consultation",84910000,8 Crore,1366000,13 Lakh,1
RAM EKWAL RAVIDAS,8th Pass,Agriculture,7580906,75 Lakh,0,0,0
SHIV KUMAR YADAV,Graduate,Social Worker,2023,2 Thousand,0,0,0
DHANJAY KUMAR,12th Pass,Business,2438200,24 Lakh,316000,3 Lakh,0
DILIP KUMAR,"Others ITI,",Labour,61000,61 Thousand,0,0,0
AWANISH,Graduate,Agriculture & Pvt. Business,0,0,0,0,0
MITHILESH KUMAR SINGH SATHI,Graduate Professional,Business,57351673,5 Crore,1060731,10 Lakh,1
KRISHNA MANDAL,Literate,Labour,1717278,17 Lakh,150000,1 Lakh,2
MITHILESH MANJHI,Graduate B.A.,Agriculture,600000,6 Lakh,0,0,0
RAM RATAN SINGH,12th Pass,"Politics, Social Worker, Agriculture Firm, Salary received from the Legislative Assembly",47967545,4 Crore,0,0,2
MANOJ KUMAR TANTI,10th Pass,Business,12376000,1 Crore,913670,9 Lakh,1
AKHILESH KUMAR,Graduate,Agriculture,8213936,82 Lakh,491170,4 Lakh,0
ASHOK KUMAR,10th Pass,Pension and Agriculture,7400000,74 Lakh,826970,8 Lakh,0
CHANCHAL KUMAR,10th Pass,Business,56797000,5 Crore,819480,8 Lakh,0
MANTU KUMAR,12th Pass,"Agriculture, Animal Husbandry & Social Work",48755000,4 Crore,645870,6 Lakh,0
SATISH KUMAR,Graduate B.A.,Business,226000,2 Lakh,0,0,0
SACHINDRA KUMAR,10th Pass,Business,0,0,724180,7 Lakh,1
DEEPAK KUMAR,12th Pass,Social Service,863000,8 Lakh,0,0,0
SYED MD MAHTAB,8th Pass,Agriculture,90015,90 Thousand,0,0,2
RAJ KISHOR SHARMA,10th Pass,Business and Agriculture,5179395,51 Lakh,354120,3 Lakh,0
MOHAMMAD ASIF ALAM,Literate,Agriculture,4795000,47 Lakh,0,0,0
RAJIV KUMAR SINGH,Graduate Bachelor,Self Employed,60000,60 Thousand,0,0,0
KIRAN KUMARI,Post Graduate,,4220600,42 Lakh,0,0,0
MADAN MOHAN SRIVASTAVA,12th Pass,Teacher,8936797,89 Lakh,0,0,1
MOHAMMAD AMIRUL HASAN,12th Pass,Business,286000,2 Lakh,0,0,0
AJAY KUMAR PRAJAPATI,12th Pass,Business,8735000,87 Lakh,699600,6 Lakh,0
ABHIJEET ABHIGYAN,Graduate Professional,Advocacy,10459546,1 Crore,170624,1 Lakh,0
GANESH BHARTI,10th Pass,Nil,5933800,59 Lakh,0,0,0
VAVUCHAND CHAUDHARI,Graduate B.A.,Cultivation,8104299,81 Lakh,0,0,0
BIPEEN KUMAR,"Graduate Graduate,",Agriculture & Business,233000,2 Lakh,0,0,0
AMARJEET KUMAR,Graduate,Agriculture,5440000,54 Lakh,0,0,1
RAMESH KUMAR,12th Pass,Business & Agriculture,281909231,28 Crore,3856050,38 Lakh,0
MUKESH KUMAR SINGH,Post Graduate,Marketing Consultant,6725000,67 Lakh,539940,5 Lakh,0
YOGESH RANJAN,Graduate Professional,"Commission Agent, Agriculture, Self Employed",4910843,49 Lakh,199010,1 Lakh,0
DHARAMPAL YADAV,12th Pass,Agriculture,6520000,65 Lakh,660460,6 Lakh,1
RAKESH SHARMA,10th Pass,Business,1452000,14 Lakh,497140,4 Lakh,2
MANJU DEVI,10th Pass,Agriculture,9775000,97 Lakh,0,0,0
SURENDRA KUMAR SAHANI,Post Graduate,Agriculture,28907721,2 Crore,497290,4 Lakh,0
MANISH BHUSHAN OJHA,12th Pass,"Agriculture, Business",4420000,44 Lakh,0,0,0
ANIL KUMAR,10th Pass,Business,12805000,1 Crore,0,0,0
MINU KUMARI,Graduate Professional,Advocate,0,0,548120,5 Lakh,2
RAM VISWAS RAI,Post Graduate,Agriculture,25000,25 Thousand,0,0,0
NARAYAN SINGH,10th Pass,Agriculture,2520000,25 Lakh,0,0,0
AKHILESH KUMAR,12th Pass,Nil,12456706,1 Crore,594620,5 Lakh,0
ARVIND KUMAR,Graduate B.A.,NA,150000,1 Lakh,0,0,0
ROSHAN,12th Pass,Self Business,4171172,41 Lakh,0,0,0
AMRADEEP KUMAR JAI,Post Graduate,Agriculture,3482500,34 Lakh,0,0,0
SHABNAM LATA,Graduate B.A.,NIL,41231662,4 Crore,625400,6 Lakh,0
KUNAL KUMAR,Post Graduate,Agriculture & Business,93410948,9 Crore,570906,5 Lakh,1
RAVISHANKAR PRASAD SINGH,Graduate Professional,"Agriculture, Business",94255993,9 Crore,621870,6 Lakh,0
NITESH KUMAR SINHA,10th Pass,Business,1885500,18 Lakh,0,0,1
SANJAY KUMAR PASWAN,Graduate Professional,Business,7380000,73 Lakh,472730,4 Lakh,0
RAJESH KUMAR SINGH,12th Pass,Social Service and Agriculture,11235500,1 Crore,0,0,3
SANJAY KUMAR SUMAN,Doctorate Ph.D./BHU,Assoc. Prof,645370,6 Lakh,1309360,13 Lakh,0
YUVRAJ KUMAR,Graduate Bachelor,Self-Employed,823653,8 Lakh,0,0,0
MANOHAR KUMAR RAM,Graduate Graduation,"Business, Social Service",3777162,37 Lakh,512120,5 Lakh,2
GIRJA RAM,8th Pass,Labour,575000,5 Lakh,0,0,0
PRATIBHA DEVI,Literate,"House Wife, Social Service",35000,35 Thousand,0,0,0
MOHAMMAD AMIR HAIDAR,Graduate Professional,Professional,24019673,2 Crore,700220,7 Lakh,0
LAL BABU ROY,Post Graduate,Social Worker,1184359,11 Lakh,0,0,0
ABHISHEK KUMAR,Post Graduate,Labour,5127850,51 Lakh,0,0,0
SANJAY KUMAR JHA,12th Pass,Agriculture,16940000,1 Crore,250000,2 Lakh,0
JAY NARAYAN SAH,Post Graduate,Advocate,12404533,1 Crore,0,0,0
PRADIP KUMAR SHARAN,Others ITI,Pensioner,10343000,1 Crore,0,0,0
CHANDAN KUMAR,Graduate,Social Service,2980000,29 Lakh,0,0,0
SHIV NANDAN TIWARI,Graduate Professional,Advocate,351698,3 Lakh,650140,6 Lakh,0
DHANANJAY KUMAR,Graduate Gradudate,No,510000,5 Lakh,683650,6 Lakh,0
SUKHDEV YADAV,10th Pass,Agriculture,10207216,1 Crore,0,0,0
RAJKAPOOR SINGH,12th Pass,NA,3696000,36 Lakh,695450,6 Lakh,1
DILIP MANJHI,Graduate Graduation,,2000000,20 Lakh,0,0,0
HARISCHANDRA PRASAD YADAV,12th Pass,"Dairy, Agriculture & Animal Husbandry",17280931,1 Crore,495200,4 Lakh,0
TINKU KUMAR LAHERI,Literate,Labour,0,0,498650,4 Lakh,0
UPENDRA SINGH,Others Diploma,Private Job,5092000,50 Lakh,1760000,17 Lakh,0
SUNIL RAY,10th Pass,Social Service,27118832,2 Crore,699040,6 Lakh,2
ABHISHEK RANJAN,Graduate B.Com,Agriculture,60000,60 Thousand,0,0,0
RAM SAKHA MAHTO,8th Pass,Chicken Business,39434063,3 Crore,539580,5 Lakh,5
PANKAJ PANDEY,Graduate Graduation,Agriculture,88834479,8 Crore,692860,6 Lakh,0
RAKESH KUMAR,Graduate B.A,"Social Work , Teaching",0,0,0,0,0
PRATIBHA SINGH,Graduate Professional,Businesswoman,205648768,20 Crore,1069750,10 Lakh,1
BALESHWAR RAM,8th Pass,Business,226000,2 Lakh,0,0,0
CHANO RISHIDEV,Illiterate,Labour,535000,5 Lakh,0,0,0
DHEERAJ KUMAR ROY,Graduate BA,Business,5204511,52 Lakh,560950,5 Lakh,0
IMTIYAZ ALAM RAMZAN ALI SHAIKH,Literate,Business,2725000,27 Lakh,0,0,0
SURENDRA KUMAR,Graduate B.Sc.,Nil,121000,1 Lakh,694000,6 Lakh,0
RAJGEER PASWAN,8th Pass,Business,40000,40 Thousand,0,0,0
KANHAIYA KUMAR,10th Pass,Agriculture,6975000,69 Lakh,0,0,2
SHOAIB AHMED KHAN,Doctorate Ph.D.,Business and Salary,61735757,6 Crore,1571000,15 Lakh,0
GAUTAM SADA,Graduate,Labour,475000,4 Lakh,0,0,0
DHRUVNATH SINGH,Post Graduate,Retired Teacher,2035300,20 Lakh,652990,6 Lakh,1
TEJ PRATAP YADAV,12th Pass,MLA From Hasanpur Samastipur Bihar,28813543,2 Crore,2293254,22 Lakh,8
RAM SWARTH PRASAD,10th Pass,Agriculture,5175000,51 Lakh,0,0,0
GOUTTAM OJHA,12th Pass,Agriculture,362000,3 Lakh,0,0,0
JITENDRA KUMAR KANNAUJ,Post Graduate,Business (CEAT Tyre Agency) Narayan Trader,4805000,48 Lakh,487580,4 Lakh,1
JEEBACHH KUMAR HAJARI,Literate,Social Work,953000,9 Lakh,0,0,1
JOONE KUMAR,Literate,Labour,3036000,30 Lakh,342400,3 Lakh,1
MADHU KUMAR BHARTI,10th Pass,Self employed,5865000,58 Lakh,606550,6 Lakh,3
SUDHIR KUMAR,10th Pass,Labour,26000,26 Thousand,0,0,0
ANGAD KUMAR,Graduate Professional,Yoga Trainer,5165307,51 Lakh,0,0,0
BINOD ASHISH,Graduate B.A.,Journalist,2414196,24 Lakh,695440,6 Lakh,0
SUGOULI PRASAD,5th Pass,Labour,154123,1 Lakh,0,0,0
DEVCHANDRA YADAV,Literate,Social Worker,8345000,83 Lakh,498890,4 Lakh,15
VIPIN KUMAR,Literate,Social Worker,12570000,1 Crore,0,0,0
MOSAHEB MAHTO,Literate,Agriculture and Social Worker,13458814,1 Crore,699670,6 Lakh,5
VIRENDRA PASWAN,Literate,Labour,257100,2 Lakh,0,0,0
ABHISHEK KUMAR,Graduate,Agriculture,1560000,15 Lakh,0,0,0
HIRALAL KHARIYA,Post Graduate,Agriculture,1200000,12 Lakh,0,0,6
ABHISHEK KUMAR SINGH,Graduate Professional,"Self Employed, Business & Social Service",682337,6 Lakh,492390,4 Lakh,0
MD ARIF,Graduate B.A.,Student as Pursuing Mass Media from JMI,138000,1 Lakh,0,0,0
GULAB BABU RAIN,8th Pass,Business,5014000,50 Lakh,498000,4 Lakh,0
FAGUNI MANJHI,Literate,Agriculture,190500,1 Lakh,0,0,0
BANSHIDHAR SINGH,Others Hotel,Service,142755490,14 Crore,6006500,60 Lakh,0
MD SULTAN HUSSEN IDRISHI,Graduate,Nil,2239437,22 Lakh,0,0,1
HARSHA NARAYAN PANDIT,10th Pass,Farmer,330000,3 Lakh,0,0,0
AMRESH KUMAR,10th Pass,Agriculture,724000,7 Lakh,0,0,0
SHYAM SINGH,12th Pass,Agriculture,9517030,95 Lakh,556940,5 Lakh,1
MUNGA LAL RAM,8th Pass,Agriculture,3826000,38 Lakh,0,0,0
TIRO SHARMA,Illiterate NIL,Agriculture,604453,6 Lakh,0,0,0
DEEPMALA DEVI,8th Pass,House Wife,591000,5 Lakh,0,0,0
SHAMBHU PRASAD SHARMA,Graduate Professional,Doctor,1571688,15 Lakh,673510,6 Lakh,0
NIRAJ KUMAR,Graduate B.A.,Agriculture,496578,4 Lakh,0,0,0
PREMJEET KUMAR,Literate,Agriculture,6610000,66 Lakh,0,0,0
MOTIUR RAHMAN,10th Pass,Agriculture,570000,5 Lakh,0,0,1
DEENANATH PRASAD,Literate,Agriculture,5741000,57 Lakh,0,0,1
PRABHUNATH THAKUR,12th Pass,Private Service,13215000,1 Crore,500000,5 Lakh,0
SHANKAR DOM URF SHANKAR MALLIK,Literate,Nil,20250,20 Thousand,0,0,1
MANTOSH KUMAR GOND,8th Pass,"General Store, Shop",2223048,22 Lakh,0,0,0
SHYAM BIHARI CHOUDHARY,Graduate Professional,Advocate (Law Business),260000,2 Lakh,0,0,1
SHASHI KUMAR,Graduate,brick kiln business,16089500,1 Crore,706480,7 Lakh,1
RAJEEV KUMAR,12th Pass,Agriculture,56000,56 Thousand,240000,2 Lakh,0
SITAMBAR SHARMA,10th Pass,Trust,2186000,21 Lakh,0,0,0
MOJAHID ALAM,12th Pass,Teaching Work,1000,1 Thousand,0,0,0
ARBIND KUMAR,Graduate B.A.,Pvt Job,2717762,27 Lakh,0,0,0
UPENDRA KUMAR,12th Pass,Business & Agriculture,2366651,23 Lakh,570000,5 Lakh,0
RANJEET KUMAR,"Graduate Graduate,",Nil,12900850,1 Crore,525660,5 Lakh,0
SUBODH KUMAR SINGH,Graduate,Agriculture,7988000,79 Lakh,298850,2 Lakh,0
SITA DEVI,Literate,Nil,15945000,1 Crore,0,0,0
JITENDRA KUMAR PANDIT,12th Pass,Self Employed (Electrician),710605,7 Lakh,0,0,0
YOGANAND KUMAR SINGH KUSVAHA,Graduate B.Sc,Labour,7200,7 Thousand,0,0,0
NAND KISHOR MANJHI,10th Pass,,4709680,47 Lakh,489360,4 Lakh,0
RAM MOHAN RAY,Graduate B.A.,Agriculture,3467979,34 Lakh,445090,4 Lakh,1
ROHIT ROY,Post Graduate,Monthly Service Pension,3998333,39 Lakh,144890,1 Lakh,0
SURENDRA RAM,Literate,Agriculture Work,7564000,75 Lakh,0,0,2
KRISHAN KUMAR,Post Graduate,"Engineer, Agriculture, Advocate, Tuition Classes",8670000,86 Lakh,0,0,0
SHATRUDHAN KUMAR,12th Pass,Agriculture,6834000,68 Lakh,0,0,0
PREM KUMAR,Post Graduate,Social Worker & Business,30735357,3 Crore,1195760,11 Lakh,2
MASKOOR AHMAD USMANI,Graduate Professional,Doctor,105526,1 Lakh,0,0,6
MOHIT KUMAR ALIAS KUNDAN KUMAR,Post Graduate,Business,763100,7 Lakh,0,0,7
VIKASH KUMAR,Others Diploma,Nil,6487000,64 Lakh,0,0,0
RAHUL KUMAR SINGH,Post Graduate,Social Service & Proprietor,53520069,5 Crore,901950,9 Lakh,4
SATISH KUMAR,Graduate,Aggriculture & Social Worker,32391000,3 Crore,1095380,10 Lakh,2
VIJENDRA PASWAN,12th Pass,Cow Shed,596000,5 Lakh,0,0,0
PREM RANJAN KUMAR,Graduate,Hospital Operator,3438608,34 Lakh,298650,2 Lakh,0
RANADHIR KUMAR,10th Pass,"Agriculture, Vehicle",6661700,66 Lakh,0,0,0
RAJESH SHARMA,10th Pass,Business,1182000,11 Lakh,0,0,0
GUDIYA KUMARI,Literate,House Wife,560000,5 Lakh,0,0,0
RAJU RAJVANSHI,8th Pass,Agriculture Labour,1175000,11 Lakh,0,0,0
BHIM RAM,10th Pass,Agriculture,2047000,20 Lakh,0,0,0
DHARMENDRA KUMAR,Graduate B.Sc,Teaching Work,10157138,1 Crore,0,0,0
VIVEK KUMAR,Graduate Professional,Business,2009041,20 Lakh,698500,6 Lakh,0
