Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
QUYAMUDDIN ANSARI,Post Graduate,Social Work,537951,5 Lakh,0,0,10
ANIRUDDH KUMAR,12th Pass,Social Worker & Agriculture,43842691,4 Crore,466390,4 Lakh,13
NARENDRA NARAYAN YADAV,Graduate,"Agriculture, Social Work and Salary & Allowances as a vice president of vidhan sabha",21804379,2 Crore,532580,5 Lakh,0
AJAY KUMAR KUSHWAHA,12th Pass,Politician & Businessman,29680937,2 Crore,1265350,12 Lakh,4
AJAY KUMAR,12th Pass,Farmer,23678005,2 Crore,0,0,9
ACHUTANAND,Doctorate Ph.D,Social Worker,4950000,49 Lakh,0,0,2
ANANT KUMAR SINGH,Literate,"Social Work, Business & Agriculture",746218598,74 Crore,3966064,39 Lakh,28
ABHISHEK ANAND,Post Graduate,Agriculture and Rental Income,109578084,10 Crore,473185,4 Lakh,0
DHARMENDRA KUMAR,Graduate,Agriculture,9066000,90 Lakh,0,0,0
FARAZ FATMI,Post Graduate,Director (R.S.Infratech Limited) & Former MLA,96214567,9 Crore,1285600,12 Lakh,0
INDRADEEP KUMAR CHANDRAVANSHI,Doctorate P.hd,Business,8284309,82 Lakh,755650,7 Lakh,2
AMITA BHUSHAN,Post Graduate,Teaching,56426163,5 Crore,785947,7 Lakh,3
MAHESH PASWAN,Post Graduate,Agriculture,855000,8 Lakh,0,0,0
ASHOK KUMAR,10th Pass,Agriculture,8618500,86 Lakh,0,0,0
RISHI MISHRA,Graduate Professional,Business,57312386,5 Crore,779550,7 Lakh,1
AJIT KUMAR,Literate,Business,255000,2 Lakh,0,0,0
CHHOTI KUMARI,12th Pass,Social Service,14179344,1 Crore,663396,6 Lakh,0
YUSUF SALAHUDDIN,Graduate B.Com,"Politics, Agriculture and Social Work",307724584,30 Crore,743720,7 Lakh,1
MAHAVIR YADAV,Others Diploma,Private Teacher,16541254,1 Crore,295050,2 Lakh,0
